2655-3081,7509378.938,4726944.866
2655-21494,7509421.219,4726961.052
2655-21496,7509379.518,4726963.863
2655-3080,7509366.862,4726941.435
2655-3082,7509388.726,4726943.341
2655-21493,7509437.175,4726960.361
2655-21495,7509403.806,4726962.508
2655-3087,7509483.172,4726948.55
2655-3088,7509515.84,4726966.599
2655-21503,7509497.237,4726973.506
2655-21504,7509477.894,4726964.262
2655-3083,7509360.506,4726925.037
2655-3085,7509407.666,4726941.434
2655-3089,7509543.552,4726994.945
2655-21502,7509513.418,4726987.493
2655-21505,7509457.639,4726959.843
2655-3086,7509445.418,4726936.603
2655-21498,7509335.046,4726961.623
2655-21589,7509334.683,4726961.662
2655-21497,7509352.308,4726961.919
2655-21499,7509538.82,4727012.208
2655-21501,7509525.412,4727005.1
2655-21506,7509437.803,4726956.466
2655-3084,7509390.759,4726933.68
2655-21500,7509531.873,4727021.879
2655-21588,7509358.821,4726934.252
